resource_id	resource_name	order_index
home	홈	100
gm	GM 업무 관리	200
gm-todos	업무 관리	201
gm-events	서버 일정	202
gm-modules	모듈 분석	203
gm-memos	전체 메모	204
remote	서버 제어	300
remote-control	서버 제어	301
remote-schedule	서버 점검 예약	302
update	업데이트	400
account	계정 관리	500
account-list	계정 목록	501
account-statistics	통계	502
account-permissions	사용자 권한	503
account-menu	메뉴 접근 권한	504
ban	캐릭터/제재	600
ban-characters	캐릭터 목록	601
ban-sendmail	우편 발송	602
ban-accountban	계정 차단	603
ban-ipban	IP 차단	604
log	로그 센터	700
log-action	웹 관리자 활동	701
log-blackmarket	암시장 거래	702
log-karazhan	강화 로그	703
log-playtime	접속 보상	704
log-mail	우편 발송 기록	705
content	콘텐츠 데이터 관리	800
content-blackmarket	암시장 품목 설정	801
board	게시판	900
mypage	마이페이지	1000
board-admin	게시판 관리 (CMS)	1100
